RACE_HISP,SEX,YEAR,births
6,2,2037,198610
6,2,2038,202258
6,2,2039,205972
6,2,2040,209731
6,2,2041,213548
6,2,2042,217407
6,2,2043,221321
6,2,2044,225266
6,2,2045,229233
6,2,2046,233221
6,2,2047,237208
6,2,2048,241191
6,2,2049,245181
6,2,2050,249158
6,2,2051,253121
6,2,2052,257076
6,2,2053,261032
6,2,2054,264991
6,2,2055,268949
6,2,2056,272920
6,2,2057,276908
6,2,2058,280926
6,2,2059,284978
6,2,2060,289073
7,0,2014,2987815
7,0,2015,3003648
7,0,2016,3018465
7,0,2017,3032041
7,0,2018,3043595
7,0,2019,3052910
7,0,2020,3059170
7,0,2021,3061459
7,0,2022,3060192
7,0,2023,3056336
7,0,2024,3050608
7,0,2025,3043358
7,0,2026,3034573
7,0,2027,3024134
7,0,2028,3012416
7,0,2029,3000158
7,0,2030,2987813
7,0,2031,2975861
7,0,2032,2965023
7,0,2033,2955754
7,0,2034,2948253
7,0,2035,2942383
7,0,2036,2937834
7,0,2037,2934517
7,0,2038,2932402
7,0,2039,2931495
7,0,2040,2931692
7,0,2041,2932893
7,0,2042,2935106
7,0,2043,2938184
7,0,2044,2941926
7,0,2045,2946114
7,0,2046,2950482
7,0,2047,2954775
7,0,2048,2958795
7,0,2049,2962338
7,0,2050,2965233
7,0,2051,2967394
7,0,2052,2968740
7,0,2053,2969247
7,0,2054,2968963
7,0,2055,2967919
7,0,2056,2966213
7,0,2057,2963999
7,0,2058,2961420
7,0,2059,2958637
7,0,2060,2955816
7,1,2014,1530525
7,1,2015,1538628
7,1,2016,1546214
7,1,2017,1553161
7,1,2018,1559079
7,1,2019,1563845
7,1,2020,1567050
7,1,2021,1568218
7,1,2022,1567578
7,1,2023,1565605
7,1,2024,1562675
7,1,2025,1558972
7,1,2026,1554476
7,1,2027,1549135
7,1,2028,1543141
7,1,2029,1536872
7,1,2030,1530561
7,1,2031,1524449
7,1,2032,1518908
7,1,2033,1514169
7,1,2034,1510337
7,1,2035,1507338
7,1,2036,1505016
7,1,2037,1503323
7,1,2038,1502245
7,1,2039,1501783
7,1,2040,1501892
7,1,2041,1502511
7,1,2042,1503648
7,1,2043,1505228
7,1,2044,1507147
7,1,2045,1509295
7,1,2046,1511532
7,1,2047,1513733
7,1,2048,1515795
7,1,2049,1517611
7,1,2050,1519099
7,1,2051,1520206
7,1,2052,1520899
7,1,2053,1521158
7,1,2054,1521012
7,1,2055,1520479
7,1,2056,1519606
7,1,2057,1518473
7,1,2058,1517154
7,1,2059,1515729
7,1,2060,1514285
7,2,2014,1457290
7,2,2015,1465020
7,2,2016,1472251
7,2,2017,1478880
7,2,2018,1484516
7,2,2019,1489065
7,2,2020,1492120
7,2,2021,1493241
7,2,2022,1492614
7,2,2023,1490731
7,2,2024,1487933
7,2,2025,1484386
7,2,2026,1480097
7,2,2027,1474999
7,2,2028,1469275
7,2,2029,1463286
7,2,2030,1457252
7,2,2031,1451412
7,2,2032,1446115
7,2,2033,1441585
7,2,2034,1437916
7,2,2035,1435045
7,2,2036,1432818
7,2,2037,1431194
7,2,2038,1430157
7,2,2039,1429712
7,2,2040,1429800
7,2,2041,1430382
7,2,2042,1431458
7,2,2043,1432956
7,2,2044,1434779
7,2,2045,1436819
7,2,2046,1438950
7,2,2047,1441042
7,2,2048,1443000
7,2,2049,1444727
7,2,2050,1446134
7,2,2051,1447188
7,2,2052,1447841
7,2,2053,1448089
7,2,2054,1447951
7,2,2055,1447440
7,2,2056,1446607
7,2,2057,1445526
7,2,2058,1444266
7,2,2059,1442908
7,2,2060,1441531
8,0,2014,982161
8,0,2015,995082
8,0,2016,1008526
8,0,2017,1022549
8,0,2018,1036859
8,0,2019,1051481
8,0,2020,1066137
8,0,2021,1080544
8,0,2022,1094736
8,0,2023,1108905
8,0,2024,1123277
8,0,2025,1137850
8,0,2026,1152605
8,0,2027,1167279
8,0,2028,1181719
8,0,2029,1196017
8,0,2030,1210207
8,0,2031,1224110
8,0,2032,1237664
8,0,2033,1250833
8,0,2034,1263676
8,0,2035,1276330
8,0,2036,1288761
8,0,2037,1300807
8,0,2038,1312374
8,0,2039,1323522
8,0,2040,1334308
8,0,2041,1344783
8,0,2042,1355065
8,0,2043,1365207
8,0,2044,1375348
8,0,2045,1385657
8,0,2046,1396169
8,0,2047,1406927
8,0,2048,1417906
8,0,2049,1429127
8,0,2050,1440661
8,0,2051,1452488
8,0,2052,1464552
8,0,2053,1476794
8,0,2054,1489151
8,0,2055,1501600
8,0,2056,1514080
8,0,2057,1526509
8,0,2058,1538847
8,0,2059,1551063
8,0,2060,1563125
8,1,2014,501138
8,1,2015,507731
8,1,2016,514590
8,1,2017,521744
8,1,2018,529045
8,1,2019,536505
8,1,2020,543985
8,1,2021,551334
8,1,2022,558579
8,1,2023,565808
8,1,2024,573138
8,1,2025,580575
8,1,2026,588102
8,1,2027,595590
8,1,2028,602957
8,1,2029,610255
8,1,2030,617494
8,1,2031,624590
8,1,2032,631505
8,1,2033,638223
8,1,2034,644776
8,1,2035,651231
8,1,2036,657575
8,1,2037,663724
8,1,2038,669626
8,1,2039,675315
8,1,2040,680817
8,1,2041,686158
8,1,2042,691405
8,1,2043,696580
8,1,2044,701755
8,1,2045,707019
8,1,2046,712380
8,1,2047,717868
8,1,2048,723472
8,1,2049,729196
8,1,2050,735077
8,1,2051,741115
8,1,2052,747270
8,1,2053,753516
8,1,2054,759822
8,1,2055,766177
8,1,2056,772542
8,1,2057,778884
8,1,2058,785177
8,1,2059,791410
8,1,2060,797566
8,2,2014,481023
8,2,2015,487351
8,2,2016,493936
8,2,2017,500805
8,2,2018,507814
8,2,2019,514976
8,2,2020,522152
8,2,2021,529210
8,2,2022,536157
8,2,2023,543097
8,2,2024,550139
8,2,2025,557275
8,2,2026,564503
8,2,2027,571689
8,2,2028,578762
8,2,2029,585762
8,2,2030,592713
8,2,2031,599520
8,2,2032,606159
8,2,2033,612610
8,2,2034,618900
8,2,2035,625099
8,2,2036,631186
8,2,2037,637083
8,2,2038,642748
8,2,2039,648207
